Generated by http://statistics.gov.scot,2020-09-15T08:56:14+00:00
http://statistics.gov.scot/data/population-estimates-current-geographic-boundaries,Population Estimates (Current Geographic Boundaries)
Reference Period,2018
Age,All
Sex,All
Measure (cell values): ,Count(People)

,,http://statistics.gov.scot/def/measure-properties/count
http://statistics.gov.scot/id/statistical-geography/S16000118,Glasgow Maryhill and Springburn,74527
http://statistics.gov.scot/id/statistical-geography/S16000119,Glasgow Pollok,81004
http://statistics.gov.scot/id/statistical-geography/S16000147,Glasgow Provan,76859
http://statistics.gov.scot/id/statistical-geography/S16000121,Glasgow Shettleston,79969
http://statistics.gov.scot/id/statistical-geography/S16000122,Glasgow Southside,70916
http://statistics.gov.scot/id/statistical-geography/S16000123,Greenock and Inverclyde,72866
http://statistics.gov.scot/id/statistical-geography/S16000124,"Hamilton, Larkhall and Stonehouse",74077
http://statistics.gov.scot/id/statistical-geography/S16000125,Inverness and Nairn,89755
http://statistics.gov.scot/id/statistical-geography/S16000126,Kilmarnock and Irvine Valley,82864
http://statistics.gov.scot/id/statistical-geography/S16000127,Kirkcaldy,78351
http://statistics.gov.scot/id/statistical-geography/S16000128,Linlithgow,95663
http://statistics.gov.scot/id/statistical-geography/S16000129,Mid Fife and Glenrothes,69415
http://statistics.gov.scot/id/statistical-geography/S16000130,Midlothian North and Musselburgh,85799
http://statistics.gov.scot/id/statistical-geography/S16000131,"Midlothian South, Tweeddale and Lauderdale",79077
http://statistics.gov.scot/id/statistical-geography/S16000132,Moray,80367
http://statistics.gov.scot/id/statistical-geography/S16000133,Motherwell and Wishaw,76394
http://statistics.gov.scot/id/statistical-geography/S16000110,Na h-Eileanan an Iar,26830
http://statistics.gov.scot/id/statistical-geography/S16000134,North East Fife,75226
http://statistics.gov.scot/id/statistical-geography/S16000135,Orkney Islands,22190
http://statistics.gov.scot/id/statistical-geography/S16000136,Paisley,72752
http://statistics.gov.scot/id/statistical-geography/S16000137,Perthshire North,72577
http://statistics.gov.scot/id/statistical-geography/S16000138,Perthshire South and Kinross-shire,78713
http://statistics.gov.scot/id/statistical-geography/S16000139,Renfrewshire North and West,66270
http://statistics.gov.scot/id/statistical-geography/S16000140,Renfrewshire South,68156
http://statistics.gov.scot/id/statistical-geography/S16000141,Rutherglen,77568
http://statistics.gov.scot/id/statistical-geography/S16000142,Shetland Islands,22990
http://statistics.gov.scot/id/statistical-geography/S16000143,"Skye, Lochaber and Badenoch",76018
http://statistics.gov.scot/id/statistical-geography/S16000144,Stirling,77002
http://statistics.gov.scot/id/statistical-geography/S16000148,Strathkelvin and Bearsden,80007
http://statistics.gov.scot/id/statistical-geography/S16000146,Uddingston and Bellshill,74351
http://statistics.gov.scot/id/statistical-geography/S08000015,Ayrshire and Arran,369670
http://statistics.gov.scot/id/statistical-geography/S08000016,Borders,115270
http://statistics.gov.scot/id/statistical-geography/S08000017,Dumfries and Galloway,148790
http://statistics.gov.scot/id/statistical-geography/S08000029,Fife,371910
http://statistics.gov.scot/id/statistical-geography/S08000019,Forth Valley,306070
http://statistics.gov.scot/id/statistical-geography/S08000020,Grampian,584550
http://statistics.gov.scot/id/statistical-geography/S08000031,Greater Glasgow and Clyde,1174980
http://statistics.gov.scot/id/statistical-geography/S08000022,Highland,321800
http://statistics.gov.scot/id/statistical-geography/S08000032,Lanarkshire,659200
http://statistics.gov.scot/id/statistical-geography/S08000024,Lothian,897770
http://statistics.gov.scot/id/statistical-geography/S08000025,Orkney,22190
http://statistics.gov.scot/id/statistical-geography/S08000026,Shetland,22990
http://statistics.gov.scot/id/statistical-geography/S08000030,Tayside,416080
http://statistics.gov.scot/id/statistical-geography/S08000028,Western Isles,26830
http://statistics.gov.scot/id/statistical-geography/S13002884,Abbey,10422
http://statistics.gov.scot/id/statistical-geography/S13002862,"Aboyne, Upper Deeside and Donside",10326
http://statistics.gov.scot/id/statistical-geography/S13003001,Aird and Loch Ness,11418
http://statistics.gov.scot/id/statistical-geography/S13003050,Airdrie Central,16328
http://statistics.gov.scot/id/statistical-geography/S13003049,Airdrie North,20152
http://statistics.gov.scot/id/statistical-geography/S13003053,Airdrie South,19810
http://statistics.gov.scot/id/statistical-geography/S13002845,Airyhall/Broomhill/Garthdee,16664
http://statistics.gov.scot/id/statistical-geography/S13002919,Almond,36071
http://statistics.gov.scot/id/statistical-geography/S13003071,Almond and Earn,9345
http://statistics.gov.scot/id/statistical-geography/S13002608,An Taobh Siar agus Nis,2696
http://statistics.gov.scot/id/statistical-geography/S13002976,Anderston/City/Yorkhill,34059
http://statistics.gov.scot/id/statistical-geography/S13002891,Annandale East and Eskdale ,9784
http://statistics.gov.scot/id/statistical-geography/S13002890,Annandale North,15439
http://statistics.gov.scot/id/statistical-geography/S13002889,Annandale South,14816
http://statistics.gov.scot/id/statistical-geography/S13002892,Annick,14442
http://statistics.gov.scot/id/statistical-geography/S13002873,Arbroath East and Lunan,12942
http://statistics.gov.scot/id/statistical-geography/S13002872,"Arbroath West, Letham and Friockheim",19089
http://statistics.gov.scot/id/statistical-geography/S13003036,Ardrossan and Arran,11630
http://statistics.gov.scot/id/statistical-geography/S13002828,Armadale and Blackridge,15681
http://statistics.gov.scot/id/statistical-geography/S13003099,Avondale and Stonehouse,16658
http://statistics.gov.scot/id/statistical-geography/S13003090,Ayr East,12242
http://statistics.gov.scot/id/statistical-geography/S13003089,Ayr North,17194
http://statistics.gov.scot/id/statistical-geography/S13003091,Ayr West,17071
http://statistics.gov.scot/id/statistical-geography/S13003009,Badenoch and Strathspey,13909
http://statistics.gov.scot/id/statistical-geography/S13002986,Baillieston,22454
http://statistics.gov.scot/id/statistical-geography/S13002898,Ballochmyle,14033
http://statistics.gov.scot/id/statistical-geography/S13002863,Banchory and Mid Deeside,11785
http://statistics.gov.scot/id/statistical-geography/S13002848,Banff and District,11110
http://statistics.gov.scot/id/statistical-geography/S13003121,Bannockburn,11450
http://statistics.gov.scot/id/statistical-geography/S13002600,"Barraigh, Bhatarsaigh, Eirisgeigh agus Uibhist a Deas",3026
http://statistics.gov.scot/id/statistical-geography/S13002914,"Barrhead, Liboside and Uplawmoor",18630
http://statistics.gov.scot/id/statistical-geography/S13002827,Bathgate,23804
http://statistics.gov.scot/id/statistical-geography/S13002902,Bearsden North,14786
http://statistics.gov.scot/id/statistical-geography/S13002903,Bearsden South,13363
http://statistics.gov.scot/id/statistical-geography/S13002601,Beinn na Foghla agus Uibhist a Tuath,2896
http://statistics.gov.scot/id/statistical-geography/S13003056,Bellshill,15112
http://statistics.gov.scot/id/statistical-geography/S13002904,Bishopbriggs North and Campsie,19447
http://statistics.gov.scot/id/statistical-geography/S13002905,Bishopbriggs South,15838
http://statistics.gov.scot/id/statistical-geography/S13003085,"Bishopton, Bridge of Weir and Langbank",10082
http://statistics.gov.scot/id/statistical-geography/S13002998,Black Isle,10447
http://statistics.gov.scot/id/statistical-geography/S13003065,Blairgowrie and Glens,11009
http://statistics.gov.scot/id/statistical-geography/S13003109,Blantyre,16101
http://statistics.gov.scot/id/statistical-geography/S13002940,Bonnybridge and Larbert,17091
http://statistics.gov.scot/id/statistical-geography/S13003019,Bonnyrigg,18338
http://statistics.gov.scot/id/statistical-geography/S13003110,Bothwell and Uddingston,13104
http://statistics.gov.scot/id/statistical-geography/S13002936,Bo’ness and Blackness,15465
http://statistics.gov.scot/id/statistical-geography/S13002868,Brechin and Edzell,11249
http://statistics.gov.scot/id/statistical-geography/S13002836,Bridge of Don,19212
http://statistics.gov.scot/id/statistical-geography/S13002821,"Broxburn, Uphall and Winchburgh",19516
http://statistics.gov.scot/id/statistical-geography/S13002966,"Buckhaven, Methil and Wemyss Villages",18014
http://statistics.gov.scot/id/statistical-geography/S13003026,Buckie,10737
http://statistics.gov.scot/id/statistical-geography/S13002953,"Burntisland, Kinghorn and Western Kirkcaldy",14698
http://statistics.gov.scot/id/statistical-geography/S13002975,Calton,30089
http://statistics.gov.scot/id/statistical-geography/S13003108,Cambuslang East,16597
http://statistics.gov.scot/id/statistical-geography/S13003107,Cambuslang West,14307
http://statistics.gov.scot/id/statistical-geography/S13002982,Canal,25372
http://statistics.gov.scot/id/statistical-geography/S13003000,Caol and Mallaig,8246
http://statistics.gov.scot/id/statistical-geography/S13002970,Cardonald,29516
http://statistics.gov.scot/id/statistical-geography/S13002871,Carnoustie and District,14052
http://statistics.gov.scot/id/statistical-geography/S13003063,Carse of Gowrie,10079
http://statistics.gov.scot/id/statistical-geography/S13002939,"Carse, Kinnaird and Tryst",21449
http://statistics.gov.scot/id/statistical-geography/S13002883,Castle Douglas and Crocketford,8625
http://statistics.gov.scot/id/statistical-geography/S13002851,Central Buchan,14924
http://statistics.gov.scot/id/statistical-geography/S13002929,City Centre,31960
http://statistics.gov.scot/id/statistical-geography/S13002877,Clackmannanshire Central,7895
http://statistics.gov.scot/id/statistical-geography/S13002879,Clackmannanshire East,8505
http://statistics.gov.scot/id/statistical-geography/S13002876,Clackmannanshire North,10730
http://statistics.gov.scot/id/statistical-geography/S13002878,Clackmannanshire South,11704
http://statistics.gov.scot/id/statistical-geography/S13002875,Clackmannanshire West,12566
http://statistics.gov.scot/id/statistical-geography/S13002917,"Clarkston, Netherlee and Williamwood",21562
http://statistics.gov.scot/id/statistical-geography/S13003126,Clydebank Central,14655
http://statistics.gov.scot/id/statistical-geography/S13003127,Clydebank Waterfront,14964
http://statistics.gov.scot/id/statistical-geography/S13003097,Clydesdale East,13037
http://statistics.gov.scot/id/statistical-geography/S13003096,Clydesdale North,14944
http://statistics.gov.scot/id/statistical-geography/S13003098,Clydesdale South,14574
http://statistics.gov.scot/id/statistical-geography/S13003095,Clydesdale West,19069
http://statistics.gov.scot/id/statistical-geography/S13003048,Coatbridge North,15202
http://statistics.gov.scot/id/statistical-geography/S13003052,Coatbridge South,16696
http://statistics.gov.scot/id/statistical-geography/S13003051,Coatbridge West,14850
http://statistics.gov.scot/id/statistical-geography/S13002548,Coldside,18361
http://statistics.gov.scot/id/statistical-geography/S13002926,Colinton/Fairmilehead,25338
http://statistics.gov.scot/id/statistical-geography/S13002924,Corstorphine/Murrayfield,24106
http://statistics.gov.scot/id/statistical-geography/S13002521,Cowal,6521
http://statistics.gov.scot/id/statistical-geography/S13003128,Cowdenbeath,22003
http://statistics.gov.scot/id/statistical-geography/S13002932,Craigentinny/Duddingston,29801
http://statistics.gov.scot/id/statistical-geography/S13002995,Cromarty Firth,12531
http://statistics.gov.scot/id/statistical-geography/S13003006,Culloden  and Ardersier,10379
http://statistics.gov.scot/id/statistical-geography/S13003045,Cumbernauld East,16556
http://statistics.gov.scot/id/statistical-geography/S13003043,Cumbernauld North,18111
http://statistics.gov.scot/id/statistical-geography/S13003044,Cumbernauld South,16087
http://statistics.gov.scot/id/statistical-geography/S13002899,Cumnock and New Cumnock,13239
http://statistics.gov.scot/id/statistical-geography/S13002964,Cupar,14347
http://statistics.gov.scot/id/statistical-geography/S13003020,Dalkeith,13448
http://statistics.gov.scot/id/statistical-geography/S13003037,Dalry and West Kilbride,12612
http://statistics.gov.scot/id/statistical-geography/S13002882,Dee and Glenkens,10669
http://statistics.gov.scot/id/statistical-geography/S13002988,Dennistoun,21418
http://statistics.gov.scot/id/statistical-geography/S13002938,Denny and Banknock,19043
http://statistics.gov.scot/id/statistical-geography/S13002997,Dingwall and Seaforth,13391
http://statistics.gov.scot/id/statistical-geography/S13002900,Doon Valley,11704
http://statistics.gov.scot/id/statistical-geography/S13002921,Drum Brae/Gyle,23272
http://statistics.gov.scot/id/statistical-geography/S13002980,Drumchapel/Anniesland,29590
http://statistics.gov.scot/id/statistical-geography/S13003124,Dumbarton,16790
http://statistics.gov.scot/id/statistical-geography/S13002913,Dunbar and East Linton,14758
http://statistics.gov.scot/id/statistical-geography/S13003117,Dunblane and Bridge of Allan,17328
http://statistics.gov.scot/id/statistical-geography/S13002947,Dunfermline Central,18450
http://statistics.gov.scot/id/statistical-geography/S13002946,Dunfermline North,17208
http://statistics.gov.scot/id/statistical-geography/S13002948,Dunfermline South,23465
http://statistics.gov.scot/id/statistical-geography/S13002522,Dunoon,7701
http://statistics.gov.scot/id/statistical-geography/S13002835,Dyce/Bucksburn/Danestone,18827
http://statistics.gov.scot/id/statistical-geography/S13002767,East Berwickshire,10503
http://statistics.gov.scot/id/statistical-geography/S13002984,East Centre,29018
http://statistics.gov.scot/id/statistical-geography/S13002551,East End,15737
http://statistics.gov.scot/id/statistical-geography/S13002859,East Garioch,13049
http://statistics.gov.scot/id/statistical-geography/S13003102,East Kilbride Central North,17006
http://statistics.gov.scot/id/statistical-geography/S13003101,East Kilbride Central South,16163
http://statistics.gov.scot/id/statistical-geography/S13003104,East Kilbride East,13875
http://statistics.gov.scot/id/statistical-geography/S13003100,East Kilbride South,16562
http://statistics.gov.scot/id/statistical-geography/S13003103,East Kilbride West,13694
http://statistics.gov.scot/id/statistical-geography/S13002824,East Livingston and East Calder,21580
http://statistics.gov.scot/id/statistical-geography/S13002736,"East Mainland, South Ronaldsay and Burray",3945
http://statistics.gov.scot/id/statistical-geography/S13002963,East Neuk and Landward,12267
http://statistics.gov.scot/id/statistical-geography/S13002993,East Sutherland and Edderton,7883
http://statistics.gov.scot/id/statistical-geography/S13002999,Eilean a' Chèo,10536
http://statistics.gov.scot/id/statistical-geography/S13003029,Elgin City North,12302
http://statistics.gov.scot/id/statistical-geography/S13003030,Elgin City South,12192
http://statistics.gov.scot/id/statistical-geography/S13002856,Ellon and District,13696
http://statistics.gov.scot/id/statistical-geography/S13003086,Erskine and Inchinnan,18225
http://statistics.gov.scot/id/statistical-geography/S13002941,Falkirk North,22304
http://statistics.gov.scot/id/statistical-geography/S13002942,Falkirk South,16701
http://statistics.gov.scot/id/statistical-geography/S13002825,Fauldhouse and the Breich Valley,15998
http://statistics.gov.scot/id/statistical-geography/S13003027,Fochabers Lhanbryde,10827
http://statistics.gov.scot/id/statistical-geography/S13002869,Forfar and District,15928
http://statistics.gov.scot/id/statistical-geography/S13003031,Forres,16086
http://statistics.gov.scot/id/statistical-geography/S13003010,Fort William and Ardnamurchan,11610
http://statistics.gov.scot/id/statistical-geography/S13002922,Forth,31426
http://statistics.gov.scot/id/statistical-geography/S13003116,Forth and Endrick,13086
http://statistics.gov.scot/id/statistical-geography/S13003054,Fortissat,15763
http://statistics.gov.scot/id/statistical-geography/S13002927,Fountainbridge/Craiglockhart,23596
http://statistics.gov.scot/id/statistical-geography/S13002850,Fraserburgh and District,15979
http://statistics.gov.scot/id/statistical-geography/S13002763,Galashiels and District,15123
http://statistics.gov.scot/id/statistical-geography/S13002979,Garscadden/Scotstounhill,31141
http://statistics.gov.scot/id/statistical-geography/S13003047,"Gartcosh, Glenboig and Moodiesburn",13498
http://statistics.gov.scot/id/statistical-geography/S13002842,George St/Harbour,20461
http://statistics.gov.scot/id/statistical-geography/S13002916,Giffnock and Thornliebank,16181
http://statistics.gov.scot/id/statistical-geography/S13003094,Girvan and South Carrick,10975
http://statistics.gov.scot/id/statistical-geography/S13002959,Glenrothes Central and Thornton,15476
http://statistics.gov.scot/id/statistical-geography/S13002958,"Glenrothes North, Leslie and Markinch",18557
http://statistics.gov.scot/id/statistical-geography/S13003129,Glenrothes West and Kinglassie,15957
http://statistics.gov.scot/id/statistical-geography/S13002971,Govan,27866
http://statistics.gov.scot/id/statistical-geography/S13002937,Grangemouth,16262
http://statistics.gov.scot/id/statistical-geography/S13002969,Greater Pollok,32088
http://statistics.gov.scot/id/statistical-geography/S13002912,Haddington and Lammermuir,18271
http://statistics.gov.scot/id/statistical-geography/S13003111,Hamilton North and East,15095
http://statistics.gov.scot/id/statistical-geography/S13003113,Hamilton South,21645
http://statistics.gov.scot/id/statistical-geography/S13003112,Hamilton West and Earnock,18447
http://statistics.gov.scot/id/statistical-geography/S13002770,Hawick and Denholm,9328
http://statistics.gov.scot/id/statistical-geography/S13002771,Hawick and Hermitage,8597
http://statistics.gov.scot/id/statistical-geography/S13002844,Hazlehead/Queens Cross/Countesswells,20562
http://statistics.gov.scot/id/statistical-geography/S13003028,Heldon and Laich,14613
http://statistics.gov.scot/id/statistical-geography/S13002525,Helensburgh Central,8642
http://statistics.gov.scot/id/statistical-geography/S13002526,Helensburgh and Lomond South,7637
http://statistics.gov.scot/id/statistical-geography/S13003066,Highland,9344
http://statistics.gov.scot/id/statistical-geography/S13002977,Hillhead,26615
http://statistics.gov.scot/id/statistical-geography/S13002839,Hilton/Woodside/Stockethill,16008
http://statistics.gov.scot/id/statistical-geography/S13003084,"Houston, Crosslee and Linwood",17999
http://statistics.gov.scot/id/statistical-geography/S13002960,Howe of Fife and Tay Coast,13447
http://statistics.gov.scot/id/statistical-geography/S13002861,"Huntly, Strathbogie and Howe of Alford",16739
http://statistics.gov.scot/id/statistical-geography/S13003013,Inverclyde Central,11941
http://statistics.gov.scot/id/statistical-geography/S13003011,Inverclyde East,11364
http://statistics.gov.scot/id/statistical-geography/S13003012,Inverclyde East Central,9588
http://statistics.gov.scot/id/statistical-geography/S13003014,Inverclyde North,13815
http://statistics.gov.scot/id/statistical-geography/S13003017,Inverclyde South,9312
http://statistics.gov.scot/id/statistical-geography/S13003016,Inverclyde South West,11752
http://statistics.gov.scot/id/statistical-geography/S13003015,Inverclyde West,10378
http://statistics.gov.scot/id/statistical-geography/S13002950,Inverkeithing and Dalgety Bay,17508
http://statistics.gov.scot/id/statistical-geography/S13002923,Inverleith,34086
http://statistics.gov.scot/id/statistical-geography/S13003003,Inverness Central,13058
http://statistics.gov.scot/id/statistical-geography/S13003005,Inverness Millburn,10773
http://statistics.gov.scot/id/statistical-geography/S13003004,Inverness Ness-side,10433
http://statistics.gov.scot/id/statistical-geography/S13003008,Inverness South,15808
http://statistics.gov.scot/id/statistical-geography/S13003002,Inverness West,9706
http://statistics.gov.scot/id/statistical-geography/S13002858,Inverurie and District,15448
http://statistics.gov.scot/id/statistical-geography/S13003033,Irvine East,12684
http://statistics.gov.scot/id/statistical-geography/S13003041,Irvine South,11095
http://statistics.gov.scot/id/statistical-geography/S13002897,Irvine Valley,12304
http://statistics.gov.scot/id/statistical-geography/S13003032,Irvine West,15110
http://statistics.gov.scot/id/statistical-geography/S13002523,Isle of Bute,6114
http://statistics.gov.scot/id/statistical-geography/S13002769,Jedburgh and District,9170
http://statistics.gov.scot/id/statistical-geography/S13003083,"Johnstone North, Kilbarchan, Howwood and Lochwinnoch",14949
http://statistics.gov.scot/id/statistical-geography/S13003082,Johnstone South and Elderslie,15670
http://statistics.gov.scot/id/statistical-geography/S13003025,Keith and Cullen,9543
http://statistics.gov.scot/id/statistical-geography/S13002768,Kelso and District,10263
http://statistics.gov.scot/id/statistical-geography/S13003038,Kilbirnie and Beith,13177
http://statistics.gov.scot/id/statistical-geography/S13002895,Kilmarnock East and Hurlford,15713
http://statistics.gov.scot/id/statistical-geography/S13002893,Kilmarnock North,12458
http://statistics.gov.scot/id/statistical-geography/S13002896,Kilmarnock South,10786
http://statistics.gov.scot/id/statistical-geography/S13002894,Kilmarnock West and Crosshouse,17161
http://statistics.gov.scot/id/statistical-geography/S13003125,Kilpatrick,12456
http://statistics.gov.scot/id/statistical-geography/S13003042,Kilsyth,13568
http://statistics.gov.scot/id/statistical-geography/S13003034,Kilwinning,17301
http://statistics.gov.scot/id/statistical-geography/S13002847,Kincorth/Nigg/Cove,16383
http://statistics.gov.scot/id/statistical-geography/S13002837,Kingswells/Sheddocksley/Summerhill,15196
http://statistics.gov.scot/id/statistical-geography/S13003132,Kinross-shire,14045
http://statistics.gov.scot/id/statistical-geography/S13002517,Kintyre and the Islands,6450
http://statistics.gov.scot/id/statistical-geography/S13002955,Kirkcaldy Central,14313
http://statistics.gov.scot/id/statistical-geography/S13002956,Kirkcaldy East,15146
http://statistics.gov.scot/id/statistical-geography/S13002954,Kirkcaldy North,16180
http://statistics.gov.scot/id/statistical-geography/S13002907,Kirkintilloch East and North and Twechar,17906
http://statistics.gov.scot/id/statistical-geography/S13002732,Kirkwall East,4832
http://statistics.gov.scot/id/statistical-geography/S13002733,Kirkwall West and Orphir,3871
http://statistics.gov.scot/id/statistical-geography/S13002867,Kirriemuir and Dean,10731
http://statistics.gov.scot/id/statistical-geography/S13003092,Kyle,13872
http://statistics.gov.scot/id/statistical-geography/S13002973,Langside,29912
http://statistics.gov.scot/id/statistical-geography/S13003114,Larkhall,18313
http://statistics.gov.scot/id/statistical-geography/S13002765,Leaderdale and Melrose,10783
http://statistics.gov.scot/id/statistical-geography/S13002931,Leith,23794
http://statistics.gov.scot/id/statistical-geography/S13002930,Leith Walk,33769
http://statistics.gov.scot/id/statistical-geography/S13002906,Lenzie and Kirkintilloch South,13453
http://statistics.gov.scot/id/statistical-geography/S13002777,Lerwick North,2049
http://statistics.gov.scot/id/statistical-geography/S13002778,Lerwick South,5952
http://statistics.gov.scot/id/statistical-geography/S13003123,Leven,19052
http://statistics.gov.scot/id/statistical-geography/S13002965,"Leven, Kennoway and Largo",19425
http://statistics.gov.scot/id/statistical-geography/S13002934,Liberton/Gilmerton,34708
http://statistics.gov.scot/id/statistical-geography/S13002820,Linlithgow,16470
http://statistics.gov.scot/id/statistical-geography/S13002967,Linn,29241
http://statistics.gov.scot/id/statistical-geography/S13002822,Livingston North,23497
http://statistics.gov.scot/id/statistical-geography/S13002823,Livingston South,24053
http://statistics.gov.scot/id/statistical-geography/S13002607,Loch a Tuath,2709
http://statistics.gov.scot/id/statistical-geography/S13002887,Lochar,12006
http://statistics.gov.scot/id/statistical-geography/S13002546,Lochee,19464
http://statistics.gov.scot/id/statistical-geography/S13003130,"Lochgelly, Cardenden and Benarty",18892
